timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-27T22:05:15.6245893Z,sweep_res512_pad4_bdr0,Wooden_Box_Long_1,LegacyFixed,1,0,512,4,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,601,40,552,0
2026-04-27T22:05:15.6245893Z,sweep_res512_pad4_bdr0,Wooden_Box_Long_1,LegacyFixed,1,0,512,4,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,0,90,1,0,0,0,0,0,581,581,307,11,10,0,178,0,0,0,8,328.6641,0,0,1,0,0,-1,-1,601,40,552,0
2026-04-27T22:05:15.6245893Z,sweep_res512_pad4_bdr0,Wooden_Box_Long_1,LegacyFixed,1,0,512,4,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,90,5,6,0,99,0,0,0,3,56.0625572,0,0,1,0,0,-1,-1,601,40,552,0
